latitude,longitude,depth,mag 
43.6532,-79.3832,0.09930816898772216,32
43.4581,-80.4818,-0.3021183145203575,19
43.6655,-79.4204,1.056555937353143,63
43.652,-79.3633,-0.6109079172188803,9
43.6033,-79.538,-0.3947551953299143,16
40.8302,-74.1299,-0.17860247344094837,23
40.8054,-74.0241,-0.17860247344094837,23
45.5017,-73.5673,-0.4256341555997666,15
43.652,-79.3633,-0.48739207613947116,13
43.821,-79.3436,-0.08596559263139153,26
43.652,-79.3633,-0.6417868774887325,8
40.8054,-74.0241,-0.14772351317109608,24
43.6509,-79.362,-0.6109079172188803,9
51.4742,-0.0797189,2.1064405865281204,97
43.6509,-79.362,-0.6109079172188803,9
43.6459,-79.3879,0.5624925730355064,47
43.7598,-79.5565,-0.6109079172188803,9
43.6651,-79.4104,-0.48739207613947116,13
43.8208,-79.2393,-0.3947551953299143,16
43.652,-79.3633,-0.6109079172188803,9
50.1109,8.68213,2.168198507067825,99
50.1109,8.68213,2.291714348147234,103
37.3598,-121.981,1.5814982619406317,80
40.8302,-74.1299,-0.17860247344094837,23
43.652,-79.3633,-0.6109079172188803,9
43.8501,-79.5163,-0.6109079172188803,9
43.8092,-79.3427,-0.48739207613947116,13
43.821,-79.3436,-0.48739207613947116,13
40.8054,-74.0241,-0.20948143371080064,22
40.8054,-74.0241,-0.14772351317109608,24
34.1052,-118.147,-0.24036039398065293,21
43.6283,-79.67,-0.5491499966791757,11
43.652,-79.3633,-0.5491499966791757,11
43.6447,-79.3841,-0.4565131158696189,14
40.8054,-74.0241,-0.17860247344094837,23
43.6655,-79.4204,-0.2712393542505052,20
12.8498,77.6545,7.10883215024419,259
40.8302,-74.1299,0.28458193060683584,38
43.6509,-79.362,-0.6109079172188803,9
43.652,-79.3633,-0.6109079172188803,9
43.6655,-79.4204,-0.2712393542505052,20
43.652,-79.3633,-0.580028956949028,10
43.652,-79.3633,-0.5182710364093235,12
43.6509,-79.362,-0.5182710364093235,12
37.3598,-121.981,1.5814982619406317,80
43.652,-79.3633,-0.6417868774887325,8
43.648,-79.4177,0.7168873743847678,52
43.652,-79.3633,-0.6109079172188803,9
43.8092,-79.3427,-0.6109079172188803,9
43.6449,-79.3843,-0.5491499966791757,11
43.6449,-79.3843,-0.5182710364093235,12
39.7106,-104.988,1.7667720235597453,86
43.652,-79.3633,-0.6109079172188803,9
43.6509,-79.362,-0.6109079172188803,9
40.8302,-74.1299,-0.17860247344094837,23
37.3598,-121.981,1.612377222210484,81
43.652,-79.3633,-0.6417868774887325,8
40.8302,-74.1299,-0.20948143371080064,22
40.8054,-74.0241,-0.17860247344094837,23
37.3598,-121.981,1.612377222210484,81
40.8302,-74.1299,-0.1168445529012438,25
40.8054,-74.0241,-0.17860247344094837,23
40.8054,-74.0241,-0.17860247344094837,23
43.8669,-79.4414,-0.5491499966791757,11
43.6532,-79.3832,-0.3947551953299143,16
40.8054,-74.0241,-0.17860247344094837,23
40.8054,-74.0241,-0.17860247344094837,23
43.652,-79.3633,-0.6109079172188803,9
43.6555,-79.3626,-0.6109079172188803,9
37.3598,-121.981,1.612377222210484,81
40.8054,-74.0241,-0.17860247344094837,23
43.652,-79.3633,-0.6109079172188803,9
43.821,-79.3436,-0.580028956949028,10
43.6541,-79.3978,0.22282401006713126,36
43.652,-79.3633,-0.6417868774887325,8
43.6555,-79.3626,-0.580028956949028,10
43.6509,-79.362,-0.5182710364093235,12
43.6555,-79.3626,-0.580028956949028,10
43.6033,-79.538,-0.3947551953299143,16
43.652,-79.3633,-0.580028956949028,10
43.6449,-79.3843,1.0256769770832908,62
43.6509,-79.362,-0.580028956949028,10
43.6509,-79.362,-0.6109079172188803,9
43.623,-79.3936,2.9092935535442797,123
43.6541,-79.3978,-0.580028956949028,10
33.749,-84.388,0.6551294538450632,50
43.652,-79.3633,-0.6109079172188803,9
43.6784,-79.2941,0.22282401006713126,36
40.8054,-74.0241,-0.17860247344094837,23
40.8054,-74.0241,-0.17860247344094837,23
43.6561,-79.3406,-0.4565131158696189,14
43.8025,-79.344,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
43.7545,-79.33,0.2537029703369836,37
40.8054,-74.0241,-0.17860247344094837,23
43.6447,-79.3841,-0.48739207613947116,13
43.652,-79.3633,-0.6109079172188803,9
43.6404,-79.3995,-0.6109079172188803,9
43.6509,-79.362,-0.5182710364093235,12
43.6509,-79.362,-0.580028956949028,10
43.6655,-79.4204,0.28458193060683584,38
43.6509,-79.362,-0.6417868774887325,8
43.652,-79.3633,-0.580028956949028,10
43.7801,-79.3479,-0.36387623506006206,17
43.6655,-79.4204,-0.48739207613947116,13
49.2827,-123.121,1.3035876195119611,71
40.8054,-74.0241,-0.1168445529012438,25
43.652,-79.3633,-0.6109079172188803,9
40.8302,-74.1299,-0.1168445529012438,25
49.2672,-122.738,-0.580028956949028,10
43.821,-79.3436,-0.580028956949028,10
43.782,-79.4713,-0.6109079172188803,9
43.652,-79.3633,-0.580028956949028,10
25.7617,-80.1918,0.8404032154641768,56
43.652,-79.3633,-0.48739207613947116,13
40.8054,-74.0241,-0.14772351317109608,24
43.652,-79.3633,-0.580028956949028,10
43.623,-79.3936,2.754898752195018,118
37.3598,-121.981,1.612377222210484,81
43.652,-79.3633,-0.580028956949028,10
43.623,-79.3936,3.0019304343538367,126
25.7617,-80.1918,0.6551294538450632,50
40.8302,-74.1299,-0.17860247344094837,23
43.8259,-79.2518,-0.36387623506006206,17
44.0929,-77.9384,-0.08596559263139153,26
40.8054,-74.0241,-0.1168445529012438,25
40.8054,-74.0241,-0.024207672091686967,28
43.652,-79.3633,-0.4565131158696189,14
40.8054,-74.0241,-0.17860247344094837,23
40.8054,-74.0241,-0.1168445529012438,25
37.3598,-121.981,1.612377222210484,81
43.623,-79.3936,2.8784145932744276,122
40.8054,-74.0241,-0.17860247344094837,23
43.652,-79.3633,-0.36387623506006206,17
43.6449,-79.3843,1.0256769770832908,62
43.821,-79.3436,0.5316136127656541,46
50.1109,8.68213,2.1990774673376774,100
43.652,-79.3633,-0.6109079172188803,9
43.8092,-79.3427,-0.6109079172188803,9
40.8302,-74.1299,-0.20948143371080064,22
43.6555,-79.3626,-0.580028956949028,10
43.6447,-79.3841,-0.3021183145203575,19
40.8054,-74.0241,-0.14772351317109608,24
40.8302,-74.1299,-0.17860247344094837,23
43.6655,-79.4204,-0.48739207613947116,13
43.652,-79.3633,-0.580028956949028,10
43.6414,-79.3772,-0.5491499966791757,11
43.6449,-79.3843,-0.48739207613947116,13
41.8781,-87.6298,1.7667720235597453,86
43.652,-79.3633,-0.6417868774887325,8
40.8054,-74.0241,-0.1168445529012438,25
40.8054,-74.0241,-0.055086632361539246,27
40.8302,-74.1299,-0.14772351317109608,24
40.8054,-74.0241,0.006671288178165313,29
43.623,-79.3936,2.9092935535442797,123
43.652,-79.3633,-0.6109079172188803,9
43.652,-79.3633,-0.6109079172188803,9
43.623,-79.3936,2.971051474083984,125
43.6449,-79.3843,-0.5182710364093235,12
43.8092,-79.3427,-0.580028956949028,10
38.6383,-121.5072,1.3035876195119611,71
40.8054,-74.0241,-0.14772351317109608,24
43.8025,-79.344,-0.5491499966791757,11
43.6449,-79.3843,-0.48739207613947116,13
43.821,-79.3436,-0.6109079172188803,9
43.6449,-79.3843,-0.5182710364093235,12
43.6449,-79.3843,-0.48739207613947116,13
43.6449,-79.3843,-0.48739207613947116,13
43.6449,-79.3843,-0.4565131158696189,14
43.6449,-79.3843,-0.5182710364093235,12
40.8054,-74.0241,-0.1168445529012438,25
43.6449,-79.3843,0.13018712925757445,33
43.652,-79.3633,-0.580028956949028,10
40.8054,-74.0241,-0.17860247344094837,23
50.1109,8.68213,2.2299564276075294,101
43.6449,-79.3843,-0.48739207613947116,13
51.4742,-0.0797189,2.1064405865281204,97
40.8302,-74.1299,-0.17860247344094837,23
43.652,-79.3633,-0.580028956949028,10
40.8054,-74.0241,-0.1168445529012438,25
40.8054,-74.0241,-0.14772351317109608,24
40.8054,-74.0241,-0.1168445529012438,25
43.652,-79.3633,-0.6109079172188803,9
43.6509,-79.362,-0.580028956949028,10
43.782,-79.4713,-0.3947551953299143,16
43.652,-79.3633,-0.580028956949028,10
50.1109,8.68213,2.3225933084170864,104
43.6447,-79.3841,-0.5182710364093235,12
51.4742,-0.0797189,2.044682665988416,95
43.3688,-79.7556,-0.5182710364093235,12
45.5373,-73.6017,-0.580028956949028,10
43.6915,-79.4307,-0.48739207613947116,13
50.1109,8.68213,2.3225933084170864,104
43.821,-79.3436,0.5007346524958018,45
43.7673,-79.4111,-0.48739207613947116,13
40.8054,-74.0241,-0.17860247344094837,23
40.8302,-74.1299,-0.055086632361539246,27
40.8302,-74.1299,-0.20948143371080064,22
40.8302,-74.1299,-0.20948143371080064,22
40.8302,-74.1299,-0.17860247344094837,23
43.6486,-79.3817,0.28458193060683584,38
40.8302,-74.1299,-0.17860247344094837,23
43.6684,-79.3689,0.191945049797279,35
40.8302,-74.1299,-0.17860247344094837,23
45.5029,-73.5723,-0.33299727479020974,18
40.8054,-74.0241,-0.17860247344094837,23
43.6033,-79.538,-0.36387623506006206,17
40.8302,-74.1299,-0.17860247344094837,23
